landmarks,label
"[ 7.48717666e-01  7.36879170e-01 -5.58529116e-08  6.76095605e-01
  6.76618338e-01 -7.63234636e-03  6.33356214e-01  5.79676867e-01
 -1.70890931e-02  6.07433200e-01  5.05276740e-01 -3.14635783e-02
  5.94076812e-01  4.30909336e-01 -4.63394448e-02  7.22226918e-01
  4.77395624e-01  2.02074386e-02  7.13996291e-01  3.71761143e-01
  1.58608519e-02  7.11559951e-01  3.08623016e-01  7.34801823e-03
  7.12398708e-01  2.52030611e-01 -3.85332014e-03  7.65534341e-01
  4.76011425e-01  5.47535205e-03  7.42019534e-01  3.97880554e-01
 -2.51241177e-02  7.08560884e-01  4.12357807e-01 -4.54729572e-02
  6.85114503e-01  4.39134836e-01 -5.14797196e-02  8.08971405e-01
  4.84808743e-01 -1.33344987e-02  8.22643757e-01  3.72747362e-01
 -3.40165757e-02  8.23217452e-01  2.94053674e-01 -5.04108928e-02
  8.24143052e-01  2.28574306e-01 -6.11813590e-02  8.51695418e-01
  5.10940671e-01 -3.28539647e-02  8.93764257e-01  4.37827051e-01
 -4.64097895e-02  9.16340828e-01  3.81601751e-01 -5.50604984e-02
  9.35079813e-01  3.25525135e-01 -6.22532181e-02]",ghe ghalun
"[ 7.52123654e-01  7.43217289e-01  1.70119616e-08  6.74583137e-01
  6.76707864e-01 -2.52351281e-03  6.31993115e-01  5.81671476e-01
 -1.06666302e-02  6.06192350e-01  5.07388234e-01 -2.62735672e-02
  5.94816327e-01  4.31384683e-01 -4.28807102e-02  7.24263787e-01
  4.78733122e-01  4.03754115e-02  7.15720117e-01  3.74927282e-01
  4.14808802e-02  7.13148296e-01  3.10495198e-01  3.41393277e-02
  7.13242471e-01  2.53172964e-01  2.31232569e-02  7.67464638e-01
  4.77906287e-01  2.29330808e-02  7.39529788e-01  3.99123311e-01
 -2.59212242e-03  7.06164598e-01  4.17512089e-01 -2.35850420e-02
  6.84711039e-01  4.48748171e-01 -2.96006743e-02  8.10070515e-01
  4.85109001e-01  9.22972627e-04  8.20130527e-01  3.72273564e-01
 -1.27301570e-02  8.20568562e-01  2.94256061e-01 -2.69821119e-02
  8.22486937e-01  2.30635583e-01 -3.68001461e-02  8.52423370e-01
  5.11371672e-01 -2.22569183e-02  8.93533409e-01  4.37053353e-01
 -2.86649391e-02  9.15685654e-01  3.80329490e-01 -3.39292362e-02
  9.35530543e-01  3.24715972e-01 -3.92950960e-02]",ghe ghalun
"[ 7.51600444e-01  7.41312385e-01 -3.76179301e-08  6.75549984e-01
  6.77830935e-01 -4.38595004e-03  6.31984293e-01  5.80630481e-01
 -1.21693024e-02  6.06882811e-01  5.06070793e-01 -2.58855131e-02
  5.95637918e-01  4.31572378e-01 -4.03332897e-02  7.22436726e-01
  4.79370922e-01  2.88808998e-02  7.15195060e-01  3.73073637e-01
  2.70834919e-02  7.12670088e-01  3.09603214e-01  1.96193270e-02
  7.12549984e-01  2.52530545e-01  8.83760676e-03  7.65897155e-01
  4.78515595e-01  1.24861021e-02  7.39192009e-01  4.00751412e-01
 -1.65301599e-02  7.05654800e-01  4.17438656e-01 -3.73812057e-02
  6.83683455e-01  4.46794331e-01 -4.35802117e-02  8.08942080e-01
  4.86669660e-01 -8.15437641e-03  8.19939077e-01  3.73594582e-01
 -2.72021033e-02  8.20234418e-01  2.94651389e-01 -4.40051295e-02
  8.22229981e-01  2.29480296e-01 -5.50944284e-02  8.51825893e-01
  5.12642682e-01 -2.93829534e-02  8.92982960e-01  4.37677473e-01
 -4.10812683e-02  9.15430546e-01  3.80606830e-01 -4.91402447e-02
  9.34978187e-01  3.24106872e-01 -5.60988225e-02]",ghe ghalun
"[ 7.51118183e-01  7.41387844e-01 -2.86930764e-08  6.75301194e-01
  6.77801073e-01 -4.26554633e-03  6.31989181e-01  5.80571175e-01
 -1.18794022e-02  6.06960475e-01  5.06410062e-01 -2.53996309e-02
  5.95465422e-01  4.31915224e-01 -3.96212786e-02  7.22296119e-01
  4.79283571e-01  2.97453422e-02  7.14850962e-01  3.72598201e-01
  2.88019087e-02  7.12203085e-01  3.09360862e-01  2.17946321e-02
  7.12030232e-01  2.52336144e-01  1.12260422e-02  7.65896380e-01
  4.78797883e-01  1.32817999e-02  7.39494205e-01  4.00761902e-01
 -1.53961405e-02  7.06403673e-01  4.18360651e-01 -3.62758487e-02
  6.84997261e-01  4.48645294e-01 -4.23456468e-02  8.08834612e-01
  4.87132609e-01 -7.38773309e-03  8.19920003e-01  3.73913974e-01
 -2.57915184e-02  8.20361137e-01  2.94604301e-01 -4.26608399e-02
  8.22662473e-01  2.28894919e-01 -5.38793877e-02  8.51629615e-01
  5.13103545e-01 -2.86547784e-02  8.92807126e-01  4.38239574e-01
 -3.97102609e-02  9.15163815e-01  3.81187618e-01 -4.76148874e-02
  9.34742808e-01  3.24466646e-01 -5.45841902e-02]",ghe ghalun
"[ 7.51041234e-01  7.41379738e-01 -4.87338951e-08  6.77438378e-01
  6.79192066e-01 -8.19200743e-03  6.32998049e-01  5.80506325e-01
 -1.70459710e-02  6.07346237e-01  5.05033374e-01 -3.06973532e-02
  5.95957637e-01  4.31027353e-01 -4.46249507e-02  7.21858263e-01
  4.80343580e-01  2.22768020e-02  7.13484764e-01  3.74236554e-01
  1.80657804e-02  7.11972713e-01  3.12670052e-01  9.04343370e-03
  7.12787032e-01  2.55783170e-01 -2.62721977e-03  7.65429676e-01
  4.78339016e-01  8.04915093e-03  7.40131378e-01  4.02918041e-01
 -2.29283031e-02  7.08800554e-01  4.19784963e-01 -4.42544930e-02
  6.86845839e-01  4.47425604e-01 -5.08080237e-02  8.08587611e-01
  4.86314714e-01 -1.05409427e-02  8.19887698e-01  3.74112725e-01
 -3.17743346e-02  8.20025325e-01  2.95111239e-01 -4.92801815e-02
  8.19978714e-01  2.28512138e-01 -6.05952777e-02  8.51511061e-01
  5.11124432e-01 -2.98773404e-02  8.93044233e-01  4.39174175e-01
 -4.37967554e-02  9.15288568e-01  3.83466423e-01 -5.29730655e-02
  9.33798790e-01  3.27485651e-01 -6.04276024e-02]",ghe ghalun
"[ 7.50846624e-01  7.40818739e-01 -4.67297525e-08  6.77524984e-01
  6.79706693e-01 -8.97392724e-03  6.32928193e-01  5.81071675e-01
 -1.81519520e-02  6.07550621e-01  5.05589902e-01 -3.19492370e-02
  5.96147180e-01  4.31072414e-01 -4.59445938e-02  7.21857309e-01
  4.80029881e-01  2.13255528e-02  7.13516414e-01  3.73835564e-01
  1.71623006e-02  7.11979568e-01  3.12501013e-01  8.28456786e-03
  7.12627053e-01  2.55864948e-01 -3.33466637e-03  7.65511274e-01
  4.78269577e-01  7.32824113e-03  7.40343571e-01  4.03002530e-01
 -2.39638668e-02  7.08893239e-01  4.19965267e-01 -4.52942923e-02
  6.86944723e-01  4.47715282e-01 -5.18040881e-02  8.08594644e-01
  4.86320049e-01 -1.10629108e-02  8.19886386e-01  3.74355793e-01
 -3.26130204e-02  8.19722533e-01  2.95174330e-01 -5.01221754e-02
  8.19557428e-01  2.28186518e-01 -6.14207275e-02  8.51614296e-01
  5.11228561e-01 -3.02489866e-02  8.92939150e-01  4.39402342e-01
 -4.44194041e-02  9.15109634e-01  3.83640885e-01 -5.36536984e-02
  9.33476448e-01  3.27535510e-01 -6.11461625e-02]",ghe ghalun
"[ 7.51190722e-01  7.34647095e-01 -6.70309390e-08  6.77472711e-01
  6.75051749e-01 -9.55535658e-03  6.33054793e-01  5.79796910e-01
 -1.75239090e-02  6.08570158e-01  5.05562544e-01 -2.97640115e-02
  5.96811831e-01  4.31452096e-01 -4.22472395e-02  7.22785294e-01
  4.81628776e-01  1.85058080e-02  7.14053273e-01  3.74263376e-01
  1.33405514e-02  7.11994708e-01  3.10350895e-01  4.41340171e-03
  7.12637603e-01  2.52580106e-01 -6.88665034e-03  7.65814185e-01
  4.78906751e-01  5.53489430e-03  7.40878046e-01  4.04521108e-01
 -2.52478700e-02  7.08689749e-01  4.16487992e-01 -4.60840426e-02
  6.85896754e-01  4.41394120e-01 -5.27541339e-02  8.09352338e-01
  4.85786408e-01 -1.18657257e-02  8.20363820e-01  3.76025796e-01
 -3.49048190e-02  8.18886518e-01  2.97528535e-01 -5.33562340e-02
  8.18128228e-01  2.32043445e-01 -6.47945777e-02  8.52942646e-01
  5.08777738e-01 -2.99687814e-02  8.93511474e-01  4.35972750e-01
 -4.62466590e-02  9.15876031e-01  3.80508542e-01 -5.67731932e-02
  9.34509456e-01  3.25432062e-01 -6.46087006e-02]",ghe ghalun
"[ 7.54197955e-01  7.37667859e-01 -4.56087861e-08  6.80379987e-01
  6.74981236e-01 -7.71147292e-03  6.35882318e-01  5.77965856e-01
 -1.51270451e-02  6.11071587e-01  5.03613234e-01 -2.70740651e-02
  5.98647952e-01  4.30107713e-01 -3.92583460e-02  7.24468172e-01
  4.78999704e-01  2.17121914e-02  7.17469692e-01  3.73861670e-01
  1.87937990e-02  7.15727329e-01  3.11354935e-01  1.13747958e-02
  7.16075838e-01  2.54616469e-01  9.94943897e-04  7.68264353e-01
  4.77394342e-01  8.14806856e-03  7.43192017e-01  4.02913064e-01
 -1.97662357e-02  7.11759090e-01  4.15147245e-01 -3.91659588e-02
  6.90562427e-01  4.40114945e-01 -4.54149172e-02  8.11411858e-01
  4.85697240e-01 -9.74895060e-03  8.20330858e-01  3.75508130e-01
 -3.06424312e-02  8.18164647e-01  2.98113436e-01 -4.83361706e-02
  8.17503154e-01  2.33688593e-01 -5.98935075e-02  8.54114294e-01
  5.09561181e-01 -2.82511208e-02  8.95380557e-01  4.36484188e-01
 -4.30153385e-02  9.17911470e-01  3.80954385e-01 -5.32291569e-02
  9.37252164e-01  3.25441837e-01 -6.13926798e-02]",ghe ghalun
"[ 7.54383028e-01  7.36893058e-01 -1.39134748e-08  6.80493534e-01
  6.74472570e-01 -7.04013137e-03  6.35891318e-01  5.78827083e-01
 -1.58857200e-02  6.10752285e-01  5.05288303e-01 -2.97871083e-02
  5.98485112e-01  4.30464566e-01 -4.40913215e-02  7.26113677e-01
  4.78394926e-01  2.34517045e-02  7.17920244e-01  3.73224229e-01
  2.19569821e-02  7.15641320e-01  3.11575443e-01  1.49601940e-02
  7.15088844e-01  2.55327553e-01  4.40375973e-03  7.69505262e-01
  4.77458030e-01  8.97783227e-03  7.43287623e-01  4.03193980e-01
 -1.96000356e-02  7.10150898e-01  4.18507695e-01 -4.00331244e-02
  6.87717438e-01  4.46941733e-01 -4.66628857e-02  8.11634719e-01
  4.85971212e-01 -9.60135739e-03  8.20697904e-01  3.76193881e-01
 -2.88071502e-02  8.18069279e-01  2.97925681e-01 -4.59434763e-02
  8.16934884e-01  2.33718276e-01 -5.76388650e-02  8.53662729e-01
  5.10696232e-01 -2.88933143e-02  8.95011783e-01  4.38010752e-01
 -4.14122008e-02  9.17175531e-01  3.82254273e-01 -5.06262258e-02
  9.35960591e-01  3.27614367e-01 -5.85907549e-02]",ghe ghalun
"[ 7.54658282e-01  7.37156153e-01 -1.83114501e-08  6.80622399e-01
  6.74740613e-01 -6.78224396e-03  6.35785460e-01  5.79071879e-01
 -1.55914174e-02  6.10345721e-01  5.05366743e-01 -2.95854080e-02
  5.98032057e-01  4.30479288e-01 -4.40045446e-02  7.26223648e-01
  4.78522360e-01  2.37475764e-02  7.17689574e-01  3.73274088e-01
  2.21392810e-02  7.15684772e-01  3.11394095e-01  1.50711536e-02
  7.15329468e-01  2.55387872e-01  4.57005389e-03  7.69541621e-01
  4.77259189e-01  9.27749276e-03  7.43198156e-01  4.03328240e-01
 -1.88799407e-02  7.10352659e-01  4.18380678e-01 -3.89840752e-02
  6.88051701e-01  4.46415544e-01 -4.54888679e-02  8.11919689e-01
  4.85477477e-01 -9.32098646e-03  8.20685029e-01  3.75656217e-01
 -2.82749906e-02  8.18025589e-01  2.97641516e-01 -4.51648943e-02
  8.16745520e-01  2.33603626e-01 -5.67397363e-02  8.54146183e-01
  5.09937704e-01 -2.86360811e-02  8.95658910e-01  4.37293649e-01
 -4.09261100e-02  9.17746425e-01  3.81618738e-01 -4.99745235e-02
  9.36361670e-01  3.27044785e-01 -5.78327104e-02]",ghe ghalun
